Month,Day,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11,hr12,hr13,hr14,hr15,hr16,hr17,hr18,hr19,hr20,hr21,hr22,hr23,hr24
1,Weekday,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.1894,0.1894,0.1894,0.1894,0.0798,0.0798,0.0798,0.0798
2,Weekday,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.1894,0.1894,0.1894,0.1894,0.0798,0.0798,0.0798,0.0798
3,Weekday,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.1894,0.1894,0.1894,0.1894,0.0798,0.0798,0.0798,0.0798
4,Weekday,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.1894,0.1894,0.1894,0.1894,0.0798,0.0798,0.0798,0.0798
5,Weekday,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.1894,0.1894,0.1894,0.1894,0.0798,0.0798,0.0798,0.0798
6,Weekday,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.2478,0.2478,0.2478,0.2478,0.0867,0.0867,0.0867,0.0867
7,Weekday,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.2478,0.2478,0.2478,0.2478,0.0867,0.0867,0.0867,0.0867
8,Weekday,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.2478,0.2478,0.2478,0.2478,0.0867,0.0867,0.0867,0.0867
9,Weekday,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.2478,0.2478,0.2478,0.2478,0.0867,0.0867,0.0867,0.0867
10,Weekday,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.1894,0.1894,0.1894,0.1894,0.0798,0.0798,0.0798,0.0798
11,Weekday,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.1894,0.1894,0.1894,0.1894,0.0798,0.0798,0.0798,0.0798
12,Weekday,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.1894,0.1894,0.1894,0.1894,0.0798,0.0798,0.0798,0.0798
1,Weekend,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798
2,Weekend,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798
3,Weekend,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798
4,Weekend,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798
5,Weekend,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798
6,Weekend,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867
7,Weekend,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867
8,Weekend,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867
9,Weekend,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867
10,Weekend,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798
11,Weekend,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798
12,Weekend,0.0376,0.0376,0.0376,0.0376,0.0376,0.0376,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798,0.0798